%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1644338283613527098,1,1644338283612626791,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338284623258123,2,1644338284622827291,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338285629589922,3,1644338285629144430,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338286614098215,4,1644338286613611936,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338287614860807,5,1644338287614430665,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338288626164931,6,1644338288625797033,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338289634792371,7,1644338289634344339,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338290629233455,8,1644338290628787994,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338291616726731,9,1644338291616144418,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338292633514527,10,1644338292633159160,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338293627086507,11,1644338293626651287,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338294612688010,12,1644338294612114906,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338295612352816,13,1644338295611925840,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338296611637352,14,1644338296611229896,,42.34129333333333,-71.09713333333333,7.8,327247.91715268965,4689800.695712201,19.0,T
1644338297612764160,15,1644338297612031936,,42.34128833333333,-71.09713,7.7,327248.1780549366,4689800.133727027,19.0,T
1644338298613791484,16,1644338298613186597,,42.34128333333334,-71.09712833333333,7.6,327248.30165918503,4689799.575128191,19.0,T
1644338299612427414,17,1644338299611999034,,42.34128166666667,-71.09713,7.5,327248.1597965383,4689799.393443679,19.0,T
1644338300615816467,18,1644338300615367889,,42.34128,-71.09713,7.6,327248.15523193905,4689799.2083728425,19.0,T
1644338301633509116,19,1644338301633081436,,42.34128,-71.09713,7.6,327248.15523193905,4689799.2083728425,19.0,T
1644338302615419834,20,1644338302614991664,,42.341278333333335,-71.09713166666667,7.7,327248.01336928376,4689799.026688335,19.0,T
1644338303617614148,21,1644338303617152452,,42.341278333333335,-71.09713333333333,7.9,327247.8760712274,4689799.030074668,19.0,T
1644338304617177213,22,1644338304616752862,,42.341275,-71.09713833333333,8.0,327247.4550478223,4689798.670092006,19.0,T
1644338305616728628,23,1644338305616285085,,42.341271666666664,-71.09714333333334,8.0,327247.0340243742,4689798.310109371,19.0,T
1644338306621025172,24,1644338306620244264,,42.34126833333333,-71.09714666666666,8.1,327246.7502989612,4689797.946740402,19.0,T
1644338307623364664,25,1644338307622935771,,42.341265,-71.09715,7.8,327246.46657351963,4689797.583371443,19.0,T
1644338308622490976,26,1644338308622111082,,42.34126333333333,-71.097155,7.9,327246.0501146087,4689797.408459699,19.0,T
1644338309622389168,27,1644338309621888160,,42.34126,-71.09715833333334,7.8,327245.7663891077,4689797.045090768,19.0,T
1644338310624143797,28,1644338310623741388,,42.341255,-71.09716166666666,7.6,327245.4780989163,4689796.496651012,19.0,T
1644338311626019650,29,1644338311625555992,,42.341251666666665,-71.097165,7.5,327245.1943733534,4689796.133282103,19.0,T
1644338312627672198,30,1644338312626853466,,42.34124833333333,-71.09716833333333,7.5,327244.9106477619,4689795.769913203,19.0,T
1644338313626385129,31,1644338313625994443,,42.341245,-71.09717166666667,7.5,327244.626922144,4689795.406544316,19.0,T
1644338314627713031,32,1644338314627272129,,42.34124166666667,-71.097175,7.5,327244.34319649555,4689795.0431754375,19.0,T
1644338315629646276,33,1644338315629002094,,42.34123833333334,-71.09717666666667,7.5,327244.1967689623,4689794.676420168,19.0,T
1644338316627200097,34,1644338316626759767,,42.341235,-71.09718,7.5,327243.91304326407,4689794.313051307,19.0,T
1644338317627168703,35,1644338317626758098,,42.341233333333335,-71.09718333333333,7.6,327243.6338822505,4689794.134753292,19.0,T
1644338318648007528,36,1644338318647425174,,42.34123,-71.09718666666667,7.6,327243.35015650006,4689793.771384454,19.0,T
1644338319648356339,37,1644338319647867202,,42.341226666666664,-71.09718833333334,7.6,327243.2037288968,4689793.404629201,19.0,T
