%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1644336857927412286,1,1644336857926847934,,42.34068333333333,-71.09820333333333,10.0,327158.10032834375,4689735.134365936,19.0,T
1644336858925878228,2,1644336858925423860,,42.34068333333333,-71.09820333333333,9.9,327158.10032834375,4689735.134365936,19.0,T
1644336859925945471,3,1644336859925506114,,42.34068333333333,-71.09820333333333,9.9,327158.10032834375,4689735.134365936,19.0,T
1644336860921345770,4,1644336860920917510,,42.34068333333333,-71.09820333333333,9.9,327158.10032834375,4689735.134365936,19.0,T
1644336861922127132,5,1644336861921812772,,42.34068333333333,-71.09820333333333,9.9,327158.10032834375,4689735.134365936,19.0,T
1644336862932245388,6,1644336862928700685,,42.34068333333333,-71.09820333333333,9.9,327158.10032834375,4689735.134365936,19.0,T
1644336863927656227,7,1644336863927242279,,42.34068333333333,-71.09820333333333,9.9,327158.10032834375,4689735.134365936,19.0,T
1644336864929732152,8,1644336864929193735,,42.340685,-71.09820333333333,9.8,327158.104895229,4689735.319436767,19.0,T
1644336865924032907,9,1644336865923638820,,42.340685,-71.09820333333333,9.8,327158.104895229,4689735.319436767,19.0,T
1644336866932097874,10,1644336866931336164,,42.340685,-71.09820333333333,9.8,327158.104895229,4689735.319436767,19.0,T
1644336867930027089,11,1644336867929621458,,42.340685,-71.09820333333333,9.8,327158.104895229,4689735.319436767,19.0,T
1644336868931204337,12,1644336868930816411,,42.340685,-71.09820333333333,9.8,327158.104895229,4689735.319436767,19.0,T
1644336869931907810,13,1644336869931532382,,42.340685,-71.09820333333333,9.8,327158.104895229,4689735.319436767,19.0,T
1644336870932802246,14,1644336870932352781,,42.340685,-71.09820333333333,9.7,327158.104895229,4689735.319436767,19.0,T
1644336871927115701,15,1644336871926671266,,42.340685,-71.09820333333333,9.7,327158.104895229,4689735.319436767,19.0,T
1644336872944808884,16,1644336872944372415,,42.340685,-71.098205,9.7,327157.9675958711,4689735.3228248255,19.0,T
1644336873949720286,17,1644336873949131250,,42.340685,-71.098205,9.7,327157.9675958711,4689735.3228248255,19.0,T
1644336874950452536,18,1644336874949998378,,42.340685,-71.098205,9.7,327157.9675958711,4689735.3228248255,19.0,T
1644336875951328884,19,1644336875950798749,,42.340685,-71.098205,9.7,327157.9675958711,4689735.3228248255,19.0,T
1644336876951011773,20,1644336876950621366,,42.340685,-71.098205,9.7,327157.9675958711,4689735.3228248255,19.0,T
1644336877951757578,21,1644336877951319456,,42.340685,-71.098205,9.6,327157.9675958711,4689735.3228248255,19.0,T
1644336878953302390,22,1644336878952862262,,42.340685,-71.098205,9.6,327157.9675958711,4689735.3228248255,19.0,T
