%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.quality
1645227281102258850,860,1645227281099596023,gps_data,42.337273333333336,-71.09247666666667,14.7,327620.54284444486,4689344.854212775,19,T,4
1645227282097397590,861,1645227282095085620,gps_data,42.337275,-71.09247666666667,14.8,327620.547398553,4689345.039283447,19,T,4
1645227283111509271,862,1645227283109495401,gps_data,42.337275,-71.09247666666667,14.8,327620.547398553,4689345.039283447,19,T,4
1645227284088995709,863,1645227284086649894,gps_data,42.337273333333336,-71.092475,14.9,327620.6801511907,4689344.850834015,19,T,4
1645227285104618847,864,1645227285104193210,gps_data,42.337273333333336,-71.092475,14.9,327620.6801511907,4689344.850834015,19,T,4
1645227286065802022,865,1645227286065336465,gps_data,42.337273333333336,-71.092475,14.9,327620.6801511907,4689344.850834015,19,T,4
1645227287123359481,866,1645227287121025085,gps_data,42.337273333333336,-71.092475,14.9,327620.6801511907,4689344.850834015,19,T,4
1645227288076004470,867,1645227288075330257,gps_data,42.337273333333336,-71.09247166666667,14.9,327620.9547646802,4689344.844076502,19,T,4
1645227289111276391,868,1645227289109033823,gps_data,42.337271666666666,-71.09247,15.0,327621.0875173303,4689344.655627076,19,T,4
1645227290080476404,869,1645227290079853773,gps_data,42.337271666666666,-71.092465,15.0,327621.4994375743,4689344.6454908345,19,T,4
1645227291115483504,870,1645227291112588405,gps_data,42.33727,-71.09245833333334,15.0,327622.04411049944,4689344.446905211,19,T,4
1645227292085113206,871,1645227292083631753,gps_data,42.33727,-71.09245333333334,15.0,327622.4560307539,4689344.436769025,19,T,4
1645227293086212976,872,1645227293083630323,gps_data,42.337268333333334,-71.09244833333334,14.9,327622.8633969624,4689344.241562194,19,T,4
1645227294082800960,873,1645227294080630779,gps_data,42.337268333333334,-71.09244166666667,14.9,327623.412623984,4689344.22804735,19,T,4
1645227295078846204,874,1645227295076630830,gps_data,42.337268333333334,-71.09243666666667,14.9,327623.824544249,4689344.217911246,19,T,4
1645227296074133058,875,1645227296072099208,gps_data,42.337266666666665,-71.09243166666667,14.9,327624.2319105043,4689344.022704493,19,T,4
1645227297069660721,876,1645227297069059133,gps_data,42.337266666666665,-71.092425,14.8,327624.78113753983,4689344.009189758,19,T,4
1645227298081561358,877,1645227298081072092,gps_data,42.337265,-71.09241833333333,14.8,327625.32581059495,4689343.810604395,19,T,4
1645227299081197443,878,1645227299079187154,gps_data,42.337265,-71.09241166666666,14.8,327625.8750376446,4689343.797089746,19,T,4
1645227300078701524,879,1645227300077171564,gps_data,42.33726333333333,-71.092405,14.9,327626.4197107429,4689343.598504469,19,T,4
1645227301074985583,880,1645227301072450876,gps_data,42.33726166666667,-71.09239833333334,14.9,327626.96438386803,4689343.399919235,19,T,4
1645227302076868604,881,1645227302074960470,gps_data,42.33726166666667,-71.09239,14.8,327627.6509177145,4689343.383026092,19,T,4
1645227303078899203,882,1645227303075601577,gps_data,42.33726166666667,-71.09238333333333,14.8,327628.2001447923,4689343.369511627,19,T,4
1645227304073235318,883,1645227304072598934,gps_data,42.33726,-71.09237666666667,14.8,327628.7448179807,4689343.170926533,19,T,4
1645227305096056355,884,1645227305093603134,gps_data,42.33726,-71.09236833333334,14.8,327629.43135184236,4689343.154033565,19,T,4
1645227306090500035,885,1645227306087009191,gps_data,42.33726,-71.09236166666666,14.8,327629.98057893396,4689343.14051924,19,T,4
1645227307084721557,886,1645227307083521604,gps_data,42.33725833333333,-71.09235333333334,14.8,327630.66255895887,4689342.938555723,19,T,5
