Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1646524462.121852,1,0,0,,-0.1567,0.6386,-0.0277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.1469438,2,0,0,,-0.1558,0.6337,-0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.1730113,3,0,0,,-0.1557,0.6405,-0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.1967132,4,0,0,,-0.1558,0.6356,-0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.2225587,5,0,0,,-0.1578,0.6317,-0.0331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.24735,6,0,0,,-0.1549,0.6298,-0.0286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.2725031,7,0,0,,-0.1578,0.6327,-0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.297261,8,0,0,,-0.1558,0.6347,-0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.3222883,9,0,0,,-0.1558,0.6356,-0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.3470426,10,0,0,,-0.1567,0.6386,-0.0288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.3720565,11,0,0,,-0.1588,0.6347,-0.0354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.3968585,12,0,0,,-0.1578,0.6308,-0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.4217365,13,0,0,,-0.1539,0.6327,-0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.446761,14,0,0,,-0.1559,0.6298,-0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.4716835,15,0,0,,-0.1578,0.6357,-0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.4968073,16,0,0,,-0.1559,0.6337,-0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.522459,17,0,0,,-0.1558,0.6327,-0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.5473967,18,0,0,,-0.1568,0.6356,-0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.572315,19,0,0,,-0.1548,0.6366,-0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.5972438,20,0,0,,-0.1548,0.6347,-0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.6220894,21,0,0,,-0.1568,0.6327,-0.0342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.6470082,22,0,0,,-0.1578,0.6327,-0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.6720922,23,0,0,,-0.1568,0.6357,-0.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.6969514,24,0,0,,-0.1569,0.6317,-0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.721752,25,0,0,,-0.1559,0.6317,-0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.746804,26,0,0,,-0.1568,0.6347,-0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.7724648,27,0,0,,-0.1558,0.6337,-0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.7966795,28,0,0,,-0.1559,0.6317,-0.0331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.8223279,29,0,0,,-0.1568,0.6327,-0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.847263,30,0,0,,-0.1548,0.6405,-0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.8721313,31,0,0,,-0.1568,0.6337,-0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.8971817,32,0,0,,-0.1568,0.6337,-0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.9221969,33,0,0,,-0.1539,0.6337,-0.0341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.9469452,34,0,0,,-0.1558,0.6386,-0.0331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.9720337,35,0,0,,-0.1559,0.6317,-0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524462.9967794,36,0,0,,-0.1548,0.6376,-0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.0218601,37,0,0,,-0.1557,0.6415,-0.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.0465775,38,0,0,,-0.1569,0.6298,-0.0331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.0724487,39,0,0,,-0.1558,0.6337,-0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.097276,40,0,0,,-0.1558,0.6366,-0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.1225514,41,0,0,,-0.1568,0.6357,-0.0243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.1474183,42,0,0,,-0.1559,0.6317,-0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.1720824,43,0,0,,-0.154,0.6298,-0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.1973379,44,0,0,,-0.1578,0.6327,-0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.2219374,45,0,0,,-0.1558,0.6347,-0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.246847,46,0,0,,-0.1578,0.6337,-0.0387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.2716844,47,0,0,,-0.1568,0.6308,-0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.296673,48,0,0,,-0.1539,0.6327,-0.0286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.3224807,49,0,0,,-0.1597,0.6337,-0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.346674,50,0,0,,-0.1568,0.6308,-0.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.3723476,51,0,0,,-0.1558,0.6337,-0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.397162,52,0,0,,-0.1558,0.6337,-0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.422093,53,0,0,,-0.1579,0.6279,-0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.4471092,54,0,0,,-0.1558,0.6356,-0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.4720502,55,0,0,,-0.1569,0.6298,-0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.4970405,56,0,0,,-0.1597,0.6376,-0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.5219676,57,0,0,,-0.1588,0.6298,-0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.5468063,58,0,0,,-0.1569,0.6279,-0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.5716734,59,0,0,,-0.1578,0.6327,-0.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.5965192,60,0,0,,-0.1559,0.6298,-0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.622479,61,0,0,,-0.1568,0.6327,-0.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.6473696,62,0,0,,-0.1578,0.6357,-0.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.6722035,63,0,0,,-0.1587,0.6347,-0.0288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.6972468,64,0,0,,-0.1579,0.6279,-0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.7221816,65,0,0,,-0.1578,0.6327,-0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.7470882,66,0,0,,-0.1588,0.6298,-0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.771948,67,0,0,,-0.1578,0.6318,-0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.7967732,68,0,0,,-0.1578,0.6318,-0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.8216987,69,0,0,,-0.1607,0.6337,-0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.846662,70,0,0,,-0.1578,0.6308,-0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.8725772,71,0,0,,-0.1568,0.6327,-0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.8973944,72,0,0,,-0.1559,0.6327,-0.0286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.9223018,73,0,0,,-0.1549,0.6308,-0.0264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.9471939,74,0,0,,-0.1578,0.6318,-0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.9721696,75,0,0,,-0.1568,0.6337,-0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524463.9973097,76,0,0,,-0.1549,0.6298,-0.0308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.021906,77,0,0,,-0.1578,0.6327,-0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.0469031,78,0,0,,-0.1578,0.6327,-0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.071847,79,0,0,,-0.1569,0.6288,-0.0242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.096782,80,0,0,,-0.1568,0.6327,-0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.1215808,81,0,0,,-0.1549,0.6327,-0.0352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.1465514,82,0,0,,-0.1568,0.6357,-0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.1725686,83,0,0,,-0.1559,0.6269,-0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.197238,84,0,0,,-0.1587,0.6366,-0.0332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.2221282,85,0,0,,-0.1588,0.6298,-0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.2472744,86,0,0,,-0.1588,0.6308,-0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.2720761,87,0,0,,-0.1588,0.6308,-0.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.2969368,88,0,0,,-0.1578,0.6298,-0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.3219333,89,0,0,,-0.1597,0.6357,-0.0277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.3468845,90,0,0,,-0.1588,0.6337,-0.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.371723,91,0,0,,-0.1578,0.6347,-0.0332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.39659,92,0,0,,-0.1577,0.6357,-0.0277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.4232788,93,0,0,,-0.1568,0.6366,-0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.4464486,94,0,0,,-0.1578,0.6318,-0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.4722981,95,0,0,,-0.1559,0.6317,-0.0286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.4972074,96,0,0,,-0.1578,0.6308,-0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.5221577,97,0,0,,-0.1578,0.6308,-0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.5470147,98,0,0,,-0.1568,0.6317,-0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.5720503,99,0,0,,-0.1598,0.6318,-0.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.596799,100,0,0,,-0.1588,0.6308,-0.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.6217542,101,0,0,,-0.1567,0.6318,-0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.646725,102,0,0,,-0.1566,0.6338,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.671663,103,0,0,,-0.1567,0.6299,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.6965857,104,0,0,,-0.1576,0.6319,0.0122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.723461,105,0,0,,-0.1587,0.6309,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.7473078,106,0,0,,-0.1566,0.6357,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.7723718,107,0,0,,-0.1576,0.6328,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.7972074,108,0,0,,-0.1577,0.6241,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.8219595,109,0,0,,-0.1567,0.6241,0.0289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.8467758,110,0,0,,-0.1567,0.627,0.0266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.871806,111,0,0,,-0.1567,0.626,0.0222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.8969085,112,0,0,,-0.1596,0.628,0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.9219167,113,0,0,,-0.1556,0.6348,0.0222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.9465644,114,0,0,,-0.1567,0.626,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.9724445,115,0,0,,-0.1595,0.6358,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524464.997419,116,0,0,,-0.1558,0.626,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.0222337,117,0,0,,-0.1539,0.625,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.0472717,118,0,0,,-0.1567,0.626,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.0721931,119,0,0,,-0.1567,0.6289,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.0969875,120,0,0,,-0.1576,0.6348,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.1220145,121,0,0,,-0.1557,0.6299,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.1468275,122,0,0,,-0.1557,0.6308,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.1718469,123,0,0,,-0.1548,0.6289,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.1967666,124,0,0,,-0.1577,0.626,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.2216446,125,0,0,,-0.1577,0.6289,-0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.2465482,126,0,0,,-0.1588,0.626,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.2722447,127,0,0,,-0.1597,0.626,-0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.2973843,128,0,0,,-0.1578,0.6308,-0.0121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.3223312,129,0,0,,-0.1587,0.6338,-0.0122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.3470933,130,0,0,,-0.1578,0.6269,-0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.3723838,131,0,0,,-0.1598,0.6279,-0.0221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.3970606,132,0,0,,-0.1597,0.6308,-0.0166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.4220076,133,0,0,,-0.1588,0.6269,-0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.4467695,134,0,0,,-0.1598,0.6289,-0.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.471636,135,0,0,,-0.1568,0.6328,-0.0187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.496509,136,0,0,,-0.1597,0.6318,-0.0189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.5224376,137,0,0,,-0.1567,0.6347,-0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.5473936,138,0,0,,-0.1588,0.6259,-0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.5724177,139,0,0,,-0.1587,0.6347,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.597079,140,0,0,,-0.1587,0.6367,-0.0189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.6220958,141,0,0,,-0.1598,0.6289,-0.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.6469631,142,0,0,,-0.1578,0.6279,-0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646524465.6719415,143,0,0,,-0.1569,0.6269,-0.0187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
